movieId,totalSeats,availableSeats,screenName,language,movieFormat,subtitle,screenType,filmFormat,theatreId,experienceKey,startTime,endTime
28583,172,108,AUDI 04,Hindi,,True,,,533,,2025-07-07T13:30:00,2025-07-07T16:48:00
28583,43,29,AUDI 01,Hindi,,True,LUXE,,533,luxe,2025-07-07T09:45:00,2025-07-07T13:03:00
28583,43,33,AUDI 01,Hindi,,True,LUXE,,533,luxe,2025-07-07T16:00:00,2025-07-07T19:18:00
28583,218,190,AUDI 06,Hindi,,True,,,511,,2025-07-07T07:50:00,2025-07-07T11:08:00
28583,276,251,AUDI 08,Hindi,,True,,,511,,2025-07-07T10:20:00,2025-07-07T13:38:00
28583,218,150,AUDI 06,Hindi,,True,,,511,,2025-07-07T13:50:00,2025-07-07T16:48:00
28583,276,266,AUDI 08,Hindi,,True,,,511,,2025-07-07T16:40:00,2025-07-07T19:58:00
28583,44,42,AUDI 01 GOLD,Hindi,,True,GOLD,,511,gold,2025-07-07T03:25:00,2025-07-07T06:27:00
28583,114,99,AUDI 01,Hindi,,True,LASER,,534,laser,2025-07-07T04:30:00,2025-07-07T07:32:00
28583,114,114,AUDI 01,Hindi,,True,LASER,,534,laser,2025-07-07T07:35:00,2025-07-07T10:46:00
28583,121,117,AUDI 02,Hindi,,True,LASER,,534,laser,2025-07-07T13:05:00,2025-07-07T16:24:00
28583,114,112,AUDI 01,Hindi,,True,LASER,,534,laser,2025-07-07T17:00:00,2025-07-07T20:19:00
28583,204,185,AUDI 03,Hindi,,True,,,512,,2025-07-07T03:50:00,2025-07-07T07:08:00
28583,183,152,AUDI 02,Hindi,,True,,,512,,2025-07-07T10:35:00,2025-07-07T13:53:00
28583,183,123,AUDI 02,Hindi,,True,,,512,,2025-07-07T16:50:00,2025-07-07T20:08:00
28583,119,110,AUDI 04,Hindi,,True,PLAYHOUSE,,512,playhouse,2025-07-07T13:05:00,2025-07-07T16:19:00
28583,233,216,SCREEN-2,Hindi,ATMOS,True,,,519,,2025-07-07T05:05:00,2025-07-07T08:28:00
28583,188,188,SCREEN-1,Hindi,ATMOS,True,,,519,,2025-07-07T10:45:00,2025-07-07T14:08:00
28583,136,127,SCREEN 4,Hindi,,False,,,14,,2025-07-07T10:20:00,2025-07-07T13:38:00
28583,136,116,SCREEN 4,Hindi,,False,,,14,,2025-07-07T13:40:00,2025-07-07T16:58:00
28583,136,128,SCREEN 4,Hindi,,False,,,14,,2025-07-07T17:00:00,2025-07-07T20:18:00
28583,104,94,SCREEN 1,Hindi,,False,,,282,,2025-07-07T09:40:00,2025-07-07T12:58:00
28583,104,95,SCREEN 1,Hindi,,False,,,282,,2025-07-07T13:00:00,2025-07-07T16:18:00
