movieId,theatreId,totalSeats,availableSeats,screenName,language,startTime,endTime,format,availability
172677,925,272,66,SCREEN 3,,2025-08-16T08:10:00,2025-08-16T08:10:00,2D,66
172677,925,187,167,SCREEN 5,,2025-08-16T01:15:00,2025-08-16T01:15:00,2D,167
172677,925,248,209,SCREEN 1,,2025-08-16T01:30:00,2025-08-16T01:30:00,2D,209
172677,925,206,41,SCREEN 2,,2025-08-16T09:45:00,2025-08-16T09:45:00,2D,41
172677,925,206,153,SCREEN 2,,2025-08-16T02:30:00,2025-08-16T02:30:00,2D,153
172677,1042226,756,557,Sandhya 4K,,2025-08-16T10:20:00,2025-08-16T10:05:00,2D,557
172677,1042226,756,555,Sandhya 4K,,2025-08-16T13:40:00,2025-08-16T13:25:00,2D,555
172677,1042226,756,552,Sandhya 4K,,2025-08-16T07:10:00,2025-08-16T06:55:00,2D,552
172677,128,288,278,AUDI 1,,2025-08-17T15:35:00,2025-08-17T15:35:00,2D,278
172677,128,162,156,AUDI 2,,2025-08-17T02:20:00,2025-08-17T02:20:00,2D,156
172677,128,162,139,AUDI 2,,2025-08-17T09:30:00,2025-08-17T09:30:00,2D,139
172677,128,288,269,AUDI 1,,2025-08-17T08:25:00,2025-08-17T08:25:00,2D,269
172677,128,136,127,AUDI 7,,2025-08-17T16:20:00,2025-08-17T16:20:00,2D,127
172677,128,136,125,AUDI 7,,2025-08-17T05:35:00,2025-08-17T05:35:00,2D,125
172677,128,288,264,AUDI 1,,2025-08-17T12:00:00,2025-08-17T12:00:00,2D,264
172677,128,162,156,AUDI 2,,2025-08-17T05:55:00,2025-08-17T05:55:00,2D,156
172677,128,162,145,AUDI 2,,2025-08-17T13:05:00,2025-08-17T13:05:00,2D,145
172677,128,288,278,AUDI 1,,2025-08-17T04:50:00,2025-08-17T04:50:00,2D,278
172677,1042222,524,486,Manasa,,2025-08-17T04:00:00,2025-08-17T03:45:00,2D,486
172677,1042222,524,514,Manasa,,2025-08-17T16:50:00,2025-08-17T16:35:00,2D,514
172677,1042222,524,498,Manasa,,2025-08-17T07:10:00,2025-08-17T06:55:00,2D,498
172677,1042222,524,447,Manasa,,2025-08-17T10:20:00,2025-08-17T10:05:00,2D,447
172677,1042222,524,469,Manasa,,2025-08-17T13:35:00,2025-08-17T13:20:00,2D,469
172677,56450,235,169,SCREEN 06,,2025-08-17T09:40:00,2025-08-17T09:40:00,2D,169
172677,56450,235,194,SCREEN 06,,2025-08-17T06:05:00,2025-08-17T06:05:00,2D,194
172677,56450,235,218,SCREEN 06,,2025-08-17T02:30:00,2025-08-17T02:30:00,2D,218
172677,56450,186,174,SCREEN 04,,2025-08-17T16:20:00,2025-08-17T16:20:00,2D,174
172677,56450,186,150,SCREEN 04,,2025-08-17T12:45:00,2025-08-17T12:45:00,2D,150
172677,56450,186,136,SCREEN 04,,2025-08-17T09:10:00,2025-08-17T09:10:00,2D,136
172677,56450,186,158,SCREEN 04,,2025-08-17T05:35:00,2025-08-17T05:35:00,2D,158
172677,56450,343,320,SCREEN 05,,2025-08-17T15:20:00,2025-08-17T15:20:00,2D,320
172677,56450,343,286,SCREEN 05,,2025-08-17T11:45:00,2025-08-17T11:45:00,2D,286
172677,56450,343,272,SCREEN 05,,2025-08-17T08:10:00,2025-08-17T08:10:00,2D,272
172677,56450,343,317,SCREEN 05,,2025-08-17T04:35:00,2025-08-17T04:35:00,2D,317
172677,56450,235,217,SCREEN 06,,2025-08-17T16:50:00,2025-08-17T16:50:00,2D,217
172677,56450,235,209,SCREEN 06,,2025-08-17T13:15:00,2025-08-17T13:15:00,2D,209
172677,56451,84,76,SCREEN 03,,2025-08-17T02:00:00,2025-08-17T02:00:00,2D,76
172677,56451,94,84,SCREEN 02,,2025-08-17T09:40:00,2025-08-17T09:40:00,2D,84
172677,56451,94,81,SCREEN 02,,2025-08-17T06:00:00,2025-08-17T06:00:00,2D,81
172677,56451,94,87,SCREEN 02,,2025-08-17T17:00:00,2025-08-17T17:00:00,2D,87
172677,56451,94,88,SCREEN 02,,2025-08-17T13:20:00,2025-08-17T13:20:00,2D,88
